{'baseline-error': 0.0115, 'self-trained-error': 0.0135, 'p': 0.20000000000000004, 'mu': 3, 'iter': 200}
{'baseline-error': 0.0235, 'self-trained-error': 0.0145, 'p': 0.20000000000000004, 'mu': 3, 'iter': 201}
{'baseline-error': 0.0245, 'self-trained-error': 0.0155, 'p': 0.20000000000000004, 'mu': 3, 'iter': 202}
{'baseline-error': 0.0205, 'self-trained-error': 0.0185, 'p': 0.20000000000000004, 'mu': 3, 'iter': 203}
{'baseline-error': 0.0355, 'self-trained-error': 0.0265, 'p': 0.20000000000000004, 'mu': 3, 'iter': 204}
{'baseline-error': 0.0205, 'self-trained-error': 0.0205, 'p': 0.20000000000000004, 'mu': 3, 'iter': 205}
{'baseline-error': 0.032, 'self-trained-error': 0.0225, 'p': 0.20000000000000004, 'mu': 3, 'iter': 206}
{'baseline-error': 0.022, 'self-trained-error': 0.0215, 'p': 0.20000000000000004, 'mu': 3, 'iter': 207}
{'baseline-error': 0.039, 'self-trained-error': 0.0295, 'p': 0.20000000000000004, 'mu': 3, 'iter': 208}
{'baseline-error': 0.033, 'self-trained-error': 0.0215, 'p': 0.20000000000000004, 'mu': 3, 'iter': 209}
{'baseline-error': 0.0205, 'self-trained-error': 0.0205, 'p': 0.20000000000000004, 'mu': 3, 'iter': 210}
{'baseline-error': 0.027, 'self-trained-error': 0.017, 'p': 0.20000000000000004, 'mu': 3, 'iter': 211}
{'baseline-error': 0.029, 'self-trained-error': 0.0165, 'p': 0.20000000000000004, 'mu': 3, 'iter': 212}
{'baseline-error': 0.033, 'self-trained-error': 0.022, 'p': 0.20000000000000004, 'mu': 3, 'iter': 213}
{'baseline-error': 0.0325, 'self-trained-error': 0.0255, 'p': 0.20000000000000004, 'mu': 3, 'iter': 214}
{'baseline-error': 0.017, 'self-trained-error': 0.014, 'p': 0.20000000000000004, 'mu': 3, 'iter': 215}
{'baseline-error': 0.0285, 'self-trained-error': 0.028, 'p': 0.20000000000000004, 'mu': 3, 'iter': 216}
{'baseline-error': 0.0225, 'self-trained-error': 0.021, 'p': 0.20000000000000004, 'mu': 3, 'iter': 217}
{'baseline-error': 0.0295, 'self-trained-error': 0.018, 'p': 0.20000000000000004, 'mu': 3, 'iter': 218}
{'baseline-error': 0.031, 'self-trained-error': 0.0195, 'p': 0.20000000000000004, 'mu': 3, 'iter': 219}
{'baseline-error': 0.041, 'self-trained-error': 0.0215, 'p': 0.20000000000000004, 'mu': 3, 'iter': 220}
{'baseline-error': 0.038, 'self-trained-error': 0.0155, 'p': 0.20000000000000004, 'mu': 3, 'iter': 221}
{'baseline-error': 0.0305, 'self-trained-error': 0.019, 'p': 0.20000000000000004, 'mu': 3, 'iter': 222}
{'baseline-error': 0.0175, 'self-trained-error': 0.0145, 'p': 0.20000000000000004, 'mu': 3, 'iter': 223}
{'baseline-error': 0.0385, 'self-trained-error': 0.0305, 'p': 0.20000000000000004, 'mu': 3, 'iter': 224}
{'baseline-error': 0.0445, 'self-trained-error': 0.0215, 'p': 0.20000000000000004, 'mu': 3, 'iter': 225}
{'baseline-error': 0.018, 'self-trained-error': 0.0145, 'p': 0.20000000000000004, 'mu': 3, 'iter': 226}
{'baseline-error': 0.0305, 'self-trained-error': 0.0245, 'p': 0.20000000000000004, 'mu': 3, 'iter': 227}
{'baseline-error': 0.0245, 'self-trained-error': 0.016, 'p': 0.20000000000000004, 'mu': 3, 'iter': 228}
{'baseline-error': 0.0285, 'self-trained-error': 0.0195, 'p': 0.20000000000000004, 'mu': 3, 'iter': 229}
{'baseline-error': 0.0345, 'self-trained-error': 0.018, 'p': 0.20000000000000004, 'mu': 3, 'iter': 230}
{'baseline-error': 0.019, 'self-trained-error': 0.0155, 'p': 0.20000000000000004, 'mu': 3, 'iter': 231}
{'baseline-error': 0.0405, 'self-trained-error': 0.0175, 'p': 0.20000000000000004, 'mu': 3, 'iter': 232}
{'baseline-error': 0.018, 'self-trained-error': 0.018, 'p': 0.20000000000000004, 'mu': 3, 'iter': 233}
{'baseline-error': 0.033, 'self-trained-error': 0.026, 'p': 0.20000000000000004, 'mu': 3, 'iter': 234}
{'baseline-error': 0.016, 'self-trained-error': 0.014, 'p': 0.20000000000000004, 'mu': 3, 'iter': 235}
{'baseline-error': 0.0155, 'self-trained-error': 0.0155, 'p': 0.20000000000000004, 'mu': 3, 'iter': 236}
{'baseline-error': 0.0195, 'self-trained-error': 0.0145, 'p': 0.20000000000000004, 'mu': 3, 'iter': 237}
{'baseline-error': 0.0285, 'self-trained-error': 0.019, 'p': 0.20000000000000004, 'mu': 3, 'iter': 238}
{'baseline-error': 0.017, 'self-trained-error': 0.019, 'p': 0.20000000000000004, 'mu': 3, 'iter': 239}
{'baseline-error': 0.0215, 'self-trained-error': 0.017, 'p': 0.20000000000000004, 'mu': 3, 'iter': 240}
{'baseline-error': 0.016, 'self-trained-error': 0.0145, 'p': 0.20000000000000004, 'mu': 3, 'iter': 241}
{'baseline-error': 0.0265, 'self-trained-error': 0.017, 'p': 0.20000000000000004, 'mu': 3, 'iter': 242}
