{'baseline-error': 0.017, 'self-trained-error': 0.014, 'p': 0.30000000000000004, 'mu': 3, 'iter': 400}
{'baseline-error': 0.0375, 'self-trained-error': 0.023, 'p': 0.30000000000000004, 'mu': 3, 'iter': 401}
{'baseline-error': 0.023, 'self-trained-error': 0.023, 'p': 0.30000000000000004, 'mu': 3, 'iter': 402}
{'baseline-error': 0.026, 'self-trained-error': 0.0255, 'p': 0.30000000000000004, 'mu': 3, 'iter': 403}
{'baseline-error': 0.0145, 'self-trained-error': 0.014, 'p': 0.30000000000000004, 'mu': 3, 'iter': 404}
{'baseline-error': 0.0155, 'self-trained-error': 0.0145, 'p': 0.30000000000000004, 'mu': 3, 'iter': 405}
{'baseline-error': 0.0195, 'self-trained-error': 0.018, 'p': 0.30000000000000004, 'mu': 3, 'iter': 406}
{'baseline-error': 0.0195, 'self-trained-error': 0.0135, 'p': 0.30000000000000004, 'mu': 3, 'iter': 407}
{'baseline-error': 0.0205, 'self-trained-error': 0.018, 'p': 0.30000000000000004, 'mu': 3, 'iter': 408}
{'baseline-error': 0.028, 'self-trained-error': 0.015, 'p': 0.30000000000000004, 'mu': 3, 'iter': 409}
{'baseline-error': 0.0245, 'self-trained-error': 0.0205, 'p': 0.30000000000000004, 'mu': 3, 'iter': 410}
{'baseline-error': 0.031, 'self-trained-error': 0.022, 'p': 0.30000000000000004, 'mu': 3, 'iter': 411}
{'baseline-error': 0.025, 'self-trained-error': 0.019, 'p': 0.30000000000000004, 'mu': 3, 'iter': 412}
{'baseline-error': 0.035, 'self-trained-error': 0.0315, 'p': 0.30000000000000004, 'mu': 3, 'iter': 413}
{'baseline-error': 0.0155, 'self-trained-error': 0.0155, 'p': 0.30000000000000004, 'mu': 3, 'iter': 414}
{'baseline-error': 0.0305, 'self-trained-error': 0.0245, 'p': 0.30000000000000004, 'mu': 3, 'iter': 415}
{'baseline-error': 0.019, 'self-trained-error': 0.0155, 'p': 0.30000000000000004, 'mu': 3, 'iter': 416}
{'baseline-error': 0.017, 'self-trained-error': 0.015, 'p': 0.30000000000000004, 'mu': 3, 'iter': 417}
{'baseline-error': 0.0245, 'self-trained-error': 0.017, 'p': 0.30000000000000004, 'mu': 3, 'iter': 418}
{'baseline-error': 0.0165, 'self-trained-error': 0.015, 'p': 0.30000000000000004, 'mu': 3, 'iter': 419}
{'baseline-error': 0.02, 'self-trained-error': 0.0195, 'p': 0.30000000000000004, 'mu': 3, 'iter': 420}
{'baseline-error': 0.046, 'self-trained-error': 0.031, 'p': 0.30000000000000004, 'mu': 3, 'iter': 421}
{'baseline-error': 0.035, 'self-trained-error': 0.0195, 'p': 0.30000000000000004, 'mu': 3, 'iter': 422}
{'baseline-error': 0.0205, 'self-trained-error': 0.0185, 'p': 0.30000000000000004, 'mu': 3, 'iter': 423}
{'baseline-error': 0.0165, 'self-trained-error': 0.016, 'p': 0.30000000000000004, 'mu': 3, 'iter': 424}
{'baseline-error': 0.0255, 'self-trained-error': 0.023, 'p': 0.30000000000000004, 'mu': 3, 'iter': 425}
{'baseline-error': 0.028, 'self-trained-error': 0.025, 'p': 0.30000000000000004, 'mu': 3, 'iter': 426}
{'baseline-error': 0.028, 'self-trained-error': 0.0285, 'p': 0.30000000000000004, 'mu': 3, 'iter': 427}
{'baseline-error': 0.025, 'self-trained-error': 0.0235, 'p': 0.30000000000000004, 'mu': 3, 'iter': 428}
{'baseline-error': 0.0235, 'self-trained-error': 0.0195, 'p': 0.30000000000000004, 'mu': 3, 'iter': 429}
{'baseline-error': 0.0165, 'self-trained-error': 0.015, 'p': 0.30000000000000004, 'mu': 3, 'iter': 430}
{'baseline-error': 0.025, 'self-trained-error': 0.0185, 'p': 0.30000000000000004, 'mu': 3, 'iter': 431}
{'baseline-error': 0.019, 'self-trained-error': 0.0185, 'p': 0.30000000000000004, 'mu': 3, 'iter': 432}
{'baseline-error': 0.0215, 'self-trained-error': 0.0175, 'p': 0.30000000000000004, 'mu': 3, 'iter': 433}
{'baseline-error': 0.025, 'self-trained-error': 0.0225, 'p': 0.30000000000000004, 'mu': 3, 'iter': 434}
{'baseline-error': 0.021, 'self-trained-error': 0.0155, 'p': 0.30000000000000004, 'mu': 3, 'iter': 435}
{'baseline-error': 0.0195, 'self-trained-error': 0.0195, 'p': 0.30000000000000004, 'mu': 3, 'iter': 436}
{'baseline-error': 0.026, 'self-trained-error': 0.025, 'p': 0.30000000000000004, 'mu': 3, 'iter': 437}
{'baseline-error': 0.019, 'self-trained-error': 0.018, 'p': 0.30000000000000004, 'mu': 3, 'iter': 438}
{'baseline-error': 0.029, 'self-trained-error': 0.0235, 'p': 0.30000000000000004, 'mu': 3, 'iter': 439}
{'baseline-error': 0.0195, 'self-trained-error': 0.0175, 'p': 0.30000000000000004, 'mu': 3, 'iter': 440}
{'baseline-error': 0.036, 'self-trained-error': 0.031, 'p': 0.30000000000000004, 'mu': 3, 'iter': 441}
{'baseline-error': 0.022, 'self-trained-error': 0.023, 'p': 0.30000000000000004, 'mu': 3, 'iter': 442}
{'baseline-error': 0.0195, 'self-trained-error': 0.0215, 'p': 0.30000000000000004, 'mu': 3, 'iter': 443}
{'baseline-error': 0.039, 'self-trained-error': 0.0375, 'p': 0.30000000000000004, 'mu': 3, 'iter': 444}
{'baseline-error': 0.02, 'self-trained-error': 0.0185, 'p': 0.30000000000000004, 'mu': 3, 'iter': 445}
{'baseline-error': 0.027, 'self-trained-error': 0.0185, 'p': 0.30000000000000004, 'mu': 3, 'iter': 446}
{'baseline-error': 0.013, 'self-trained-error': 0.014, 'p': 0.30000000000000004, 'mu': 3, 'iter': 447}
{'baseline-error': 0.0135, 'self-trained-error': 0.014, 'p': 0.30000000000000004, 'mu': 3, 'iter': 448}
{'baseline-error': 0.018, 'self-trained-error': 0.0175, 'p': 0.30000000000000004, 'mu': 3, 'iter': 449}
