{'baseline-error': 0.099, 'self-trained-error': 0.1035, 'p': 0.40000000000000013, 'mu': 2, 'iter': 0}
{'baseline-error': 0.0855, 'self-trained-error': 0.086, 'p': 0.40000000000000013, 'mu': 2, 'iter': 1}
{'baseline-error': 0.082, 'self-trained-error': 0.078, 'p': 0.40000000000000013, 'mu': 2, 'iter': 2}
{'baseline-error': 0.084, 'self-trained-error': 0.0875, 'p': 0.40000000000000013, 'mu': 2, 'iter': 3}
{'baseline-error': 0.0885, 'self-trained-error': 0.0805, 'p': 0.40000000000000013, 'mu': 2, 'iter': 4}
{'baseline-error': 0.088, 'self-trained-error': 0.095, 'p': 0.40000000000000013, 'mu': 2, 'iter': 5}
{'baseline-error': 0.097, 'self-trained-error': 0.0955, 'p': 0.40000000000000013, 'mu': 2, 'iter': 6}
{'baseline-error': 0.0865, 'self-trained-error': 0.087, 'p': 0.40000000000000013, 'mu': 2, 'iter': 7}
{'baseline-error': 0.0895, 'self-trained-error': 0.0875, 'p': 0.40000000000000013, 'mu': 2, 'iter': 8}
{'baseline-error': 0.0695, 'self-trained-error': 0.0745, 'p': 0.40000000000000013, 'mu': 2, 'iter': 9}
{'baseline-error': 0.089, 'self-trained-error': 0.0865, 'p': 0.40000000000000013, 'mu': 2, 'iter': 10}
{'baseline-error': 0.075, 'self-trained-error': 0.065, 'p': 0.40000000000000013, 'mu': 2, 'iter': 11}
{'baseline-error': 0.081, 'self-trained-error': 0.081, 'p': 0.40000000000000013, 'mu': 2, 'iter': 12}
{'baseline-error': 0.0935, 'self-trained-error': 0.09, 'p': 0.40000000000000013, 'mu': 2, 'iter': 13}
{'baseline-error': 0.0845, 'self-trained-error': 0.083, 'p': 0.40000000000000013, 'mu': 2, 'iter': 14}
{'baseline-error': 0.083, 'self-trained-error': 0.08, 'p': 0.40000000000000013, 'mu': 2, 'iter': 15}
{'baseline-error': 0.0955, 'self-trained-error': 0.0905, 'p': 0.40000000000000013, 'mu': 2, 'iter': 16}
{'baseline-error': 0.076, 'self-trained-error': 0.0775, 'p': 0.40000000000000013, 'mu': 2, 'iter': 17}
{'baseline-error': 0.088, 'self-trained-error': 0.0895, 'p': 0.40000000000000013, 'mu': 2, 'iter': 18}
{'baseline-error': 0.11, 'self-trained-error': 0.1005, 'p': 0.40000000000000013, 'mu': 2, 'iter': 19}
{'baseline-error': 0.0945, 'self-trained-error': 0.0965, 'p': 0.40000000000000013, 'mu': 2, 'iter': 20}
{'baseline-error': 0.0785, 'self-trained-error': 0.076, 'p': 0.40000000000000013, 'mu': 2, 'iter': 21}
{'baseline-error': 0.076, 'self-trained-error': 0.0715, 'p': 0.40000000000000013, 'mu': 2, 'iter': 22}
{'baseline-error': 0.073, 'self-trained-error': 0.0735, 'p': 0.40000000000000013, 'mu': 2, 'iter': 23}
{'baseline-error': 0.087, 'self-trained-error': 0.0875, 'p': 0.40000000000000013, 'mu': 2, 'iter': 24}
{'baseline-error': 0.066, 'self-trained-error': 0.068, 'p': 0.40000000000000013, 'mu': 2, 'iter': 25}
{'baseline-error': 0.0865, 'self-trained-error': 0.083, 'p': 0.40000000000000013, 'mu': 2, 'iter': 26}
{'baseline-error': 0.0765, 'self-trained-error': 0.0775, 'p': 0.40000000000000013, 'mu': 2, 'iter': 27}
{'baseline-error': 0.0765, 'self-trained-error': 0.077, 'p': 0.40000000000000013, 'mu': 2, 'iter': 28}
{'baseline-error': 0.075, 'self-trained-error': 0.076, 'p': 0.40000000000000013, 'mu': 2, 'iter': 29}
{'baseline-error': 0.0915, 'self-trained-error': 0.1, 'p': 0.40000000000000013, 'mu': 2, 'iter': 30}
{'baseline-error': 0.081, 'self-trained-error': 0.081, 'p': 0.40000000000000013, 'mu': 2, 'iter': 31}
{'baseline-error': 0.092, 'self-trained-error': 0.091, 'p': 0.40000000000000013, 'mu': 2, 'iter': 32}
{'baseline-error': 0.0905, 'self-trained-error': 0.0875, 'p': 0.40000000000000013, 'mu': 2, 'iter': 33}
{'baseline-error': 0.085, 'self-trained-error': 0.087, 'p': 0.40000000000000013, 'mu': 2, 'iter': 34}
{'baseline-error': 0.0935, 'self-trained-error': 0.0925, 'p': 0.40000000000000013, 'mu': 2, 'iter': 35}
{'baseline-error': 0.082, 'self-trained-error': 0.0855, 'p': 0.40000000000000013, 'mu': 2, 'iter': 36}
{'baseline-error': 0.0875, 'self-trained-error': 0.0805, 'p': 0.40000000000000013, 'mu': 2, 'iter': 37}
{'baseline-error': 0.078, 'self-trained-error': 0.0795, 'p': 0.40000000000000013, 'mu': 2, 'iter': 38}
{'baseline-error': 0.0725, 'self-trained-error': 0.0715, 'p': 0.40000000000000013, 'mu': 2, 'iter': 39}
{'baseline-error': 0.088, 'self-trained-error': 0.0865, 'p': 0.40000000000000013, 'mu': 2, 'iter': 40}
{'baseline-error': 0.083, 'self-trained-error': 0.081, 'p': 0.40000000000000013, 'mu': 2, 'iter': 41}
{'baseline-error': 0.075, 'self-trained-error': 0.0755, 'p': 0.40000000000000013, 'mu': 2, 'iter': 42}
{'baseline-error': 0.105, 'self-trained-error': 0.104, 'p': 0.40000000000000013, 'mu': 2, 'iter': 43}
{'baseline-error': 0.0845, 'self-trained-error': 0.0855, 'p': 0.40000000000000013, 'mu': 2, 'iter': 44}
{'baseline-error': 0.094, 'self-trained-error': 0.091, 'p': 0.40000000000000013, 'mu': 2, 'iter': 45}
{'baseline-error': 0.0775, 'self-trained-error': 0.071, 'p': 0.40000000000000013, 'mu': 2, 'iter': 46}
{'baseline-error': 0.0915, 'self-trained-error': 0.089, 'p': 0.40000000000000013, 'mu': 2, 'iter': 47}
{'baseline-error': 0.071, 'self-trained-error': 0.078, 'p': 0.40000000000000013, 'mu': 2, 'iter': 48}
{'baseline-error': 0.097, 'self-trained-error': 0.095, 'p': 0.40000000000000013, 'mu': 2, 'iter': 49}
